,Date,High,Low,Open,Close
151,2017-10-11,66.48,50.73,50.79,63.94
152,2017-10-14,69.95,58.5,63.94,59.19
153,2017-10-17,62.17,53.05,59.19,60.09
154,2017-10-20,60.36,51.92,60.08,54.63
155,2017-10-23,58.98,52.35,54.63,55.55
156,2017-10-26,57.83,53.86,55.55,56.75
157,2017-10-29,58.66,52.72,56.75,52.83
158,2017-11-01,56.13,50.03,52.82,54.83
159,2017-11-04,63.49,53.43,54.84,60.52
160,2017-11-07,66.9,56.02,60.52,58.99
161,2017-11-10,63.77,56.73,59.07,61
162,2017-11-13,76.1,60.12,61,70.7
163,2017-11-16,73.24,65.33,70.7,71.76
164,2017-11-19,73.16,68.09,71.76,72.03
165,2017-11-22,89.47,70.74,72.03,88.79
166,2017-11-25,94.53,83.73,88.77,94.22
167,2017-11-28,103.03,76.95,94.22,99.15
168,2017-12-01,106.77,95.39,99.15,103.87
169,2017-12-04,103.91,86.93,103.86,96
170,2017-12-07,179.54,93.37,95.99,147.84
171,2017-12-10,401.76,146.97,147.46,305.27
172,2017-12-13,317.69,249.24,305.03,302.04
173,2017-12-16,376.1,300.59,302.04,346.87
174,2017-12-19,346.73,158.96,346.73,262.09
175,2017-12-22,312.71,244.14,262.15,268.21
176,2017-12-25,285.32,224.07,268.03,249.86
177,2017-12-28,258.36,202.02,249.84,226.52
178,2017-12-31,260.53,216.42,226.52,244.63
179,2018-01-03,305.21,225.59,244.63,278.92
180,2018-01-06,287.27,231.21,278.92,246.04
181,2018-01-09,252.89,217.85,246.02,235.35
182,2018-01-12,268.81,230.79,235.35,231.89
183,2018-01-15,232.4,136.45,231.89,191.03
184,2018-01-18,214.72,182.88,191.03,190.73
185,2018-01-21,194.34,164.76,190.72,180.59
186,2018-01-24,184.69,165.76,180.59,180.71
187,2018-01-27,194.48,159.77,180.71,165.38
188,2018-01-30,166.86,102.51,165.36,131.17
189,2018-02-02,174.66,114.72,131.17,125.04
190,2018-02-05,159.11,105.5,125.02,149.48
191,2018-02-08,169.32,141.8,149.54,149.06
192,2018-02-11,217.42,149.03,149.06,212.01
193,2018-02-14,237.15,206.77,212.01,229.41
194,2018-02-17,252.2,211.9,229.43,229.38
195,2018-02-20,231.7,182.37,229.43,206.6
196,2018-02-23,231.6,194.86,206.6,218.62
197,2018-02-26,223.61,200.47,218.62,209.32
198,2018-03-01,217.99,204.5,209.31,213.36
199,2018-03-04,215.97,174.32,213.36,186.04
200,2018-03-07,194.73,158.82,186.05,187.3
