Date,High,Low,Open,Close
2017-01-05,10.42,9.44,10.2,10.27
2017-01-08,10.75,9.49,10.27,9.83
2017-01-11,10.23,9.14,9.83,9.78
2017-01-14,10.53,9.55,9.78,10.14
2017-01-17,10.75,9.91,10.14,10.6
2017-01-20,11.01,10.54,10.6,10.78
2017-01-23,10.87,10.4,10.78,10.65
2017-01-26,10.67,10.41,10.65,10.47
2017-01-29,10.87,10.42,10.47,10.71
2017-02-01,11.4,10.55,10.71,11.32
2017-02-04,11.55,11.1,11.32,11.45
2017-02-07,11.6,10.53,11.45,11.34
2017-02-10,11.49,11.19,11.34,11.39
2017-02-13,14.05,11.32,11.39,12.95
2017-02-16,12.94,12.68,12.95,12.82
2017-02-19,12.9,12.25,12.82,12.69
2017-02-22,13.78,12.64,12.69,13.57
2017-02-25,16.75,13.37,13.57,16.07
2017-02-28,21.06,15.68,16.07,19.48
2017-03-03,20.3,18.1,19.48,19.75
2017-03-06,19.81,15.94,19.75,17.71
2017-03-09,23.81,16.57,17.71,23.31
2017-03-12,35.32,23.3,23.31,35.18
2017-03-15,54.88,30.63,35.18,34
2017-03-18,45.55,33.4,34,42.67
2017-03-21,53.74,38.56,42.67,53.19
2017-03-24,53.59,47.62,53.19,49.06
2017-03-27,53.97,48.5,49.06,51.91
2017-03-30,52.22,46.83,51.91,48.55
2017-04-02,48.76,41.28,48.55,44.9
2017-04-05,45.87,40.99,44.9,44.37
2017-04-08,44.73,42.49,44.37,43.74
2017-04-11,51.04,43.26,43.74,47.32
2017-04-14,62.03,46.89,47.32,47.94
2017-04-17,50.5,46.86,47.94,49.36
2017-04-20,49.46,47.91,49.36,48.75
2017-04-23,54.61,48.72,48.75,53.28
2017-04-26,74.03,52.43,53.28,69.83
2017-04-29,83.87,69.28,69.83,77.25
2017-05-02,97.66,75.4,77.25,90.79
2017-05-05,96.37,62.74,90.79,88.39
2017-05-08,91.32,75.07,88.39,88.2
2017-05-11,90.57,81.81,88.2,88.72
2017-05-14,94.3,81.99,88.72,86.98
2017-05-17,129.47,86.69,86.98,123.06
2017-05-20,181.46,121.72,123.06,169.5
2017-05-23,216.1,141.56,169.5,162.83
2017-05-26,197.74,114.17,162.83,194.17
2017-05-29,235.52,185.83,194.17,220.7
2017-06-01,249.34,216.94,220.7,244.96
2017-06-04,268.12,241.5,244.96,255.77
2017-06-07,351.82,250.89,255.77,335.95
2017-06-10,417.21,311.99,335.95,388.09
2017-06-13,393.62,260.78,388.09,353.61
2017-06-16,379.17,341.29,353.61,358.2
2017-06-19,365.22,138.5,358.2,320.97
2017-06-22,331.53,253.3,320.97,279.36
2017-06-25,323.87,209.55,279.36,315.86
2017-06-28,322.28,253.18,315.86,261
2017-07-01,293.3,254.19,261,269.05
2017-07-04,274.55,236.16,269.05,240.94
2017-07-07,251.79,188.21,240.94,205.76
2017-07-10,227.06,175.21,205.76,205.41
2017-07-13,207.07,132.64,205.41,155.42
2017-07-16,256.89,154.25,155.42,194.41
2017-07-19,236.62,194.41,194.41,230.47
2017-07-22,234.17,192.64,230.47,203.59
2017-07-25,209.29,189.77,203.59,191.21
2017-07-28,209.88,177.69,191.21,201.33
2017-07-31,232.55,201.27,201.33,224.39
2017-08-03,272.22,219.72,224.39,264.56
2017-08-06,314.75,257.41,264.56,295.28
2017-08-09,319.14,289.22,295.24,308.02
2017-08-12,308.87,271.38,308.02,286.52
2017-08-15,310.43,280.66,286.52,292.62
2017-08-18,345.44,283.65,292.62,321.85
2017-08-21,329.39,293.09,321.85,325.28
2017-08-24,347.92,324.69,325.28,347.88
2017-08-27,390.64,335.41,347.88,383.86
2017-08-30,395.3,328.87,383.86,351.03
2017-09-02,370.5,275.97,351.03,317.94
2017-09-05,341.77,293.12,317.94,306.72
2017-09-08,309.07,280.7,306.72,297.95
2017-09-11,316.38,222.06,297.95,223.14
2017-09-14,272.43,200.75,223.14,258.4
2017-09-17,300.69,258.36,258.4,283.56
2017-09-20,287.13,252.22,283.56,286.14
2017-09-23,297.01,276.25,286.14,288.64
2017-09-26,312.64,279.79,288.64,292.58
2017-09-29,305.91,292.32,292.58,296.81
2017-10-02,299.92,286.73,296.81,294.99
2017-10-05,314.12,293.75,294.99,309.49
2017-10-08,310.14,286.52,309.49,302.86
2017-10-11,347.7,298.29,302.86,338.81
2017-10-14,352.39,310.57,338.81,316.14
2017-10-17,316.38,287.95,316.14,303.08
2017-10-20,305.89,274.96,303.08,285.27
2017-10-23,311.23,280.01,285.27,295.54
2017-10-26,311.3,291.11,295.54,304.04
2017-10-29,311.94,288.5,304.04,289.42
2017-11-01,307.14,276.89,289.42,300.04
2017-11-04,306.8,287.45,300,291.84
2017-11-07,329.21,288.96,291.84,296.86
2017-11-10,320.05,296.26,296.86,314.6
2017-11-13,345.18,314.45,314.6,330.32
2017-11-16,371.32,325.83,330.32,354.6
2017-11-19,381.61,351.41,354.67,380.84
2017-11-22,483.38,375.44,380.83,464.61
2017-11-25,489.43,451.12,464.55,466.27
2017-11-28,515.44,396.14,466.24,461.58
2017-12-01,481.56,445.57,461.58,466.93
2017-12-04,467.84,404.16,466.93,421.15
2017-12-07,507.36,410.33,420.76,436.49
2017-12-10,755.07,436.01,436.54,699.09
2017-12-13,751.68,614.33,699.09,692.83
2017-12-16,868.89,679.8,692.32,812.5
2017-12-19,840.55,490.28,812.5,657.83
2017-12-22,747.53,597.12,657.81,723.14
2017-12-25,766.53,671.23,723.14,716.69
2017-12-28,755.2,663.88,716.69,741.13
2017-12-31,951.7,724.33,741.09,941.1
2018-01-03,1018.37,901.03,941,1006.41
2018-01-06,1300.3,967.84,1006.41,1289.24
2018-01-09,1385.22,1087.61,1289.24,1261.03
2018-01-12,1422.86,1261.01,1261.06,1278.69
2018-01-15,1282.27,764.75,1278.7,1012.97
2018-01-18,1164.62,982.62,1012.97,1049.09
2018-01-21,1084.28,908.31,1049.09,1061.78
2018-01-24,1121.9,987.13,1061.61,1109.08
2018-01-27,1240.47,1034.72,1109.08,1063.75
2018-01-30,1155.58,746.67,1063.77,917.47
2018-02-02,997.6,629.08,917.47,695.08
2018-02-05,858.28,564.19,695.05,813.55
2018-02-08,909.32,780.13,813.55,811.24
2018-02-11,922.37,811.09,811.17,920.11
2018-02-14,974.83,905.65,920.11,974.77
2018-02-17,981.48,877.28,974.78,885.52
2018-02-20,906.56,787.97,885.52,854.7
2018-02-23,880.12,810.64,854.7,867.62
2018-02-26,894.92,846.72,867.62,869.87
2018-03-01,876.56,838.36,869.84,864.83
2018-03-04,868.8,726.38,864.92,751.13
2018-03-07,772.51,642.06,751.13,682.3
2018-03-10,739.87,663.58,682.3,696.18
